idx,instrument,dir,entry_ts,entry_utc,entry_price,exit_ts,exit_utc,exit_price,size,return_pct,holding_minutes
1,BTC-USDT-SWAP,long,1761322500000,2025-10-24 16:15,109977.000000,1761336900000,2025-10-24 20:15,110597.900000,0.087264,0.5646,240.00
2,BTC-USDT-SWAP,short,1761336900000,2025-10-24 20:15,110597.900000,1761451200000,2025-10-26 04:00,111214.900000,0.090454,-0.5579,1905.00
3,BTC-USDT-SWAP,long,1761451200000,2025-10-26 04:00,111214.900000,1761457500000,2025-10-26 05:45,111574.300000,0.364277,0.3232,105.00
4,BTC-USDT-SWAP,short,1761457500000,2025-10-26 05:45,111574.300000,1761597900000,2025-10-27 20:45,114611.800000,0.141678,-2.7224,2340.00
5,BTC-USDT-SWAP,long,1761597900000,2025-10-27 20:45,114611.800000,1761649200000,2025-10-28 11:00,114535.500000,0.184687,-0.0666,855.00
6,BTC-USDT-SWAP,short,1761649200000,2025-10-28 11:00,114535.500000,1761656400000,2025-10-28 13:00,114395.400000,0.009118,0.1223,120.00
7,BTC-USDT-SWAP,long,1761656400000,2025-10-28 13:00,114395.400000,1761662700000,2025-10-28 14:45,114724.600000,0.075450,0.2878,105.00
8,BTC-USDT-SWAP,short,1761662700000,2025-10-28 14:45,114724.600000,1761682500000,2025-10-28 20:15,112867.100000,0.242108,1.6191,330.00
9,BTC-USDT-SWAP,long,1761682500000,2025-10-28 20:15,112867.100000,1761744600000,2025-10-29 13:30,113488.500000,0.178070,0.5506,1035.00
10,BTC-USDT-SWAP,short,1761744600000,2025-10-29 13:30,113488.500000,1761750900000,2025-10-29 15:15,112222.000000,0.103341,1.1160,105.00
11,BTC-USDT-SWAP,long,1761750900000,2025-10-29 15:15,112222.000000,1761801300000,2025-10-30 05:15,108956.800000,0.124165,-2.9096,840.00
12,BTC-USDT-SWAP,short,1761801300000,2025-10-30 05:15,108956.800000,1761815700000,2025-10-30 09:15,110353.400000,0.005899,-1.2818,240.00
13,BTC-USDT-SWAP,long,1761815700000,2025-10-30 09:15,110353.400000,1761835500000,2025-10-30 14:45,108250.900000,0.079623,-1.9052,330.00
14,BTC-USDT-SWAP,short,1761835500000,2025-10-30 14:45,108250.900000,1761866100000,2025-10-30 23:15,107607.900000,0.068043,0.5940,510.00
15,BTC-USDT-SWAP,long,1761866100000,2025-10-30 23:15,107607.900000,1761876000000,2025-10-31 02:00,109574.000000,0.011251,1.8271,165.00
16,BTC-USDT-SWAP,short,1761876000000,2025-10-31 02:00,109574.000000,1761882300000,2025-10-31 03:45,108817.900000,0.154216,0.6900,105.00
17,BTC-USDT-SWAP,long,1761882300000,2025-10-31 03:45,108817.900000,1761888600000,2025-10-31 05:30,109823.300000,0.020743,0.9239,105.00
18,BTC-USDT-SWAP,short,1761888600000,2025-10-31 05:30,109823.300000,1761935400000,2025-10-31 18:30,109188.200000,0.125573,0.5783,780.00
19,BTC-USDT-SWAP,long,1761935400000,2025-10-31 18:30,109188.200000,1761951600000,2025-10-31 23:00,109531.000000,0.129704,0.3140,270.00
20,BTC-USDT-SWAP,short,1761951600000,2025-10-31 23:00,109531.000000,1762006500000,2025-11-01 14:15,109687.600000,0.251258,-0.1430,915.00
21,BTC-USDT-SWAP,long,1762006500000,2025-11-01 14:15,109687.600000,1762013700000,2025-11-01 16:15,110136.600000,0.196226,0.4093,120.00
22,BTC-USDT-SWAP,short,1762013700000,2025-11-01 16:15,110136.600000,1762040700000,2025-11-01 23:45,110000.100000,0.164683,0.1239,450.00
23,BTC-USDT-SWAP,long,1762040700000,2025-11-01 23:45,110000.100000,1762060500000,2025-11-02 05:15,110463.900000,0.274601,0.4216,330.00
24,BTC-USDT-SWAP,short,1762060500000,2025-11-02 05:15,110463.900000,1762094700000,2025-11-02 14:45,110297.800000,0.270372,0.1504,570.00
25,BTC-USDT-SWAP,long,1762094700000,2025-11-02 14:45,110297.800000,1762150500000,2025-11-03 06:15,107309.600000,0.173604,-2.7092,930.00
26,BTC-USDT-SWAP,short,1762150500000,2025-11-03 06:15,107309.600000,1762173000000,2025-11-03 12:30,108189.900000,0.026325,-0.8203,375.00
27,BTC-USDT-SWAP,long,1762173000000,2025-11-03 12:30,108189.900000,1762206300000,2025-11-03 21:45,106968.100000,0.048734,-1.1293,555.00
28,BTC-USDT-SWAP,short,1762206300000,2025-11-03 21:45,106968.100000,1762236000000,2025-11-04 06:00,104171.900000,0.119557,2.6141,495.00
29,BTC-USDT-SWAP,short,1762824600000,2025-11-11 01:30,106750.000000,1762832700000,2025-11-11 03:45,106373.500000,0.269697,0.3527,135.00
